"","scenario","goal","score"
"1",2012,"AO",75.75
"2",2012,"BD",85.06
"3",2012,"CP",82.36
"4",2012,"CS",78.81
"5",2012,"CW",54.93
"6",2012,"ECO",100
"7",2012,"FIS",54.65
"8",2012,"FP",67.64
"9",2012,"HAB",86.82
"10",2012,"ICO",58.95
"11",2012,"Index",70.78
"12",2012,"LE",73.09
"13",2012,"LIV",46.18
"14",2012,"LSP",51.5
"15",2012,"MAR",97.01
"16",2012,"NP",74.84
"17",2012,"SP",55.22
"18",2012,"SPP",83.29
"19",2012,"TR",60.05
"20",2013,"AO",76.76
"21",2013,"BD",86.44
"22",2013,"CP",82.28
"23",2013,"CS",78.81
"24",2013,"CW",53.26
"25",2013,"ECO",100
"26",2013,"FIS",56.15
"27",2013,"FP",64.03
"28",2013,"HAB",89.52
"29",2013,"ICO",60.84
"30",2013,"Index",71.17
"31",2013,"LE",85.69
"32",2013,"LIV",71.37
"33",2013,"LSP",49.93
"34",2013,"MAR",82.01
"35",2013,"NP",76.24
"36",2013,"SP",55.39
"37",2013,"SPP",83.36
"38",2013,"TR",52.81
"39",2014,"AO",77.16
"40",2014,"BD",86.22
"41",2014,"CP",82.22
"42",2014,"CS",78.76
"43",2014,"CW",52.65
"44",2014,"ECO",100
"45",2014,"FIS",57.62
"46",2014,"FP",60.53
"47",2014,"HAB",89.12
"48",2014,"ICO",60.85
"49",2014,"Index",71.3
"50",2014,"LE",85.7
"51",2014,"LIV",71.39
"52",2014,"LSP",49.94
"53",2014,"MAR",66.95
"54",2014,"NP",74.87
"55",2014,"SP",55.39
"56",2014,"SPP",83.32
"57",2014,"TR",59.53
"58",2015,"AO",77.03
"59",2015,"BD",86.02
"60",2015,"CP",82.41
"61",2015,"CS",78.85
"62",2015,"CW",53.22
"63",2015,"ECO",100
"64",2015,"FIS",58.81
"65",2015,"FP",58.9
"66",2015,"HAB",88.77
"67",2015,"ICO",60.82
"68",2015,"Index",71.94
"69",2015,"LE",85.72
"70",2015,"LIV",71.45
"71",2015,"LSP",49.93
"72",2015,"MAR",59.17
"73",2015,"NP",71.24
"74",2015,"SP",55.38
"75",2015,"SPP",83.27
"76",2015,"TR",70.69
"77",2016,"AO",77.3
"78",2016,"BD",85.85
"79",2016,"CP",82.41
"80",2016,"CS",78.85
"81",2016,"CW",54.26
"82",2016,"ECO",100
"83",2016,"FIS",60.31
"84",2016,"FP",59.09
"85",2016,"HAB",88.45
"86",2016,"ICO",59
"87",2016,"Index",70.23
"88",2016,"LE",85.72
"89",2016,"LIV",71.45
"90",2016,"LSP",49.93
"91",2016,"MAR",54.29
"92",2016,"NP",72.85
"93",2016,"SP",54.46
"94",2016,"SPP",83.24
"95",2016,"TR",51.51
"96",2017,"AO",77.53
"97",2017,"BD",85.98
"98",2017,"CP",82.21
"99",2017,"CS",78.78
"100",2017,"CW",54.27
"101",2017,"ECO",100
"102",2017,"FIS",61.27
"103",2017,"FP",59.24
"104",2017,"HAB",88.69
"105",2017,"ICO",58.73
"106",2017,"Index",70.91
"107",2017,"LE",85.7
"108",2017,"LIV",71.41
"109",2017,"LSP",49.91
"110",2017,"MAR",51.89
"111",2017,"NP",71.95
"112",2017,"SP",54.32
"113",2017,"SPP",83.27
"114",2017,"TR",59.17
